tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,7157,0,live,TP53,"BCC7, BMFS5, LFS1, P53, TRP53",tumor protein p53,; cellular tumor antigen p53|antigen NY-CO-13|mutant tumor protein 53|p53 tumor suppressor|phosphoprotein p53|transformation-related protein 53|tumor protein 53|tumor supressor p53,17p13.1,17,NC_000017.11,7668402,7687550,minus,12,191170
9606,Homo sapiens,4318,0,live,MMP9,"CLG4B, GELB, MANDP2, MMP-9",matrix metallopeptidase 9,"; matrix metalloproteinase-9|macrophage gelatinase|matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|type V collagenase",20q13.12,20,NC_000020.11,46008908,46016561,plus,13,120361
9606,Homo sapiens,1636,0,live,ACE,"ACE1, CD143, DCP, DCP1",angiotensin I converting enzyme,"; angiotensin-converting enzyme|CD143 antigen|angiotensin I converting enzyme (peptidyl-dipeptidase A) 1|angiotensin converting enzyme, somatic isoform|carboxycathepsin|dipeptidyl carboxypeptidase 1|dipeptidyl carboxypeptidase I|kininase II|peptidase P",17q23.3,17,NC_000017.11,63477061,63498373,plus,26,106180
9606,Homo sapiens,627,0,live,BDNF,"ANON2, BULN2",brain derived neurotrophic factor,; brain-derived neurotrophic factor|abrineurin|neurotrophin,11p14.1,11,NC_000011.10,27654893,27722030,minus,12,113505
9606,Homo sapiens,3553,0,live,IL1B,"IL-1, IL1-BETA, IL1F2, IL1beta",interleukin 1 beta,; interleukin-1 beta|IL-1 beta|catabolin|interleukin 1beta|preinterleukin 1 beta|pro-interleukin-1-beta,2q14.1,2,NC_000002.12,112829751,112836843,minus,7,147720
9606,Homo sapiens,5581,0,live,PRKCE,"PKCE, nPKC-epsilon",protein kinase C epsilon,; protein kinase C epsilon type,2p21,2,NC_000002.12,45651315,46187990,plus,32,176975
9606,Homo sapiens,1312,0,live,COMT,HEL-S-98n,catechol-O-methyltransferase,; catechol O-methyltransferase|catechol-O-methyltransferase isoform|epididymis secretory sperm binding protein Li 98n|testicular tissue protein Li 42,22q11.21,22,NC_000022.11,19941772,19969975,plus,8,116790
9606,Homo sapiens,4313,0,live,MMP2,"CLG4, CLG4A, MMP-2, MMP-II, MONA, TBE-1",matrix metallopeptidase 2,"; 72 kDa type IV collagenase|collagenase type IV-A|matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)|matrix metalloproteinase-2|matrix metalloproteinase-II|neutrophil gelatinase",16q12.2,16,NC_000016.10,55478830,55506691,plus,17,120360
9606,Homo sapiens,6532,0,live,SLC6A4,"5-HTT, 5-HTTLPR, 5HTT, HTT, OCD1, SERT, SERT1, hSERT",solute carrier family 6 member 4,"; sodium-dependent serotonin transporter|5-hydroxytryptamine (serotonin) transporter|5HT transporter|Na+/Cl- dependent serotonin transporter|serotonin transporter 1|solute carrier family 6 (neurotransmitter transporter), member 4|solute carrier family 6 (neurotransmitter transporter, serotonin), member 4",17q11.2,17,NC_000017.11,30194319,30235697,minus,15,182138
9606,Homo sapiens,6347,0,live,CCL2,"GDCF-2, HC11, HSMCR30, MCAF, MCP-1, MCP1, SCYA2, SMC-CF",C-C motif chemokine ligand 2,"; C-C motif chemokine 2|chemokine (C-C motif) ligand 2|monocyte chemoattractant protein-1|monocyte chemotactic and activating factor|monocyte chemotactic protein 1|monocyte secretory protein JE|small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je)|small inducible cytokine subfamily A (Cys-Cys), member 2|small-inducible cytokine A2",17q12,17,NC_000017.11,34255285,34257203,plus,3,158105
