tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,6532,0,live,SLC6A4,"5-HTT, 5-HTTLPR, 5HTT, HTT, OCD1, SERT, SERT1, hSERT",solute carrier family 6 member 4,"; sodium-dependent serotonin transporter|5-hydroxytryptamine (serotonin) transporter|5HT transporter|Na+/Cl- dependent serotonin transporter|serotonin transporter 1|solute carrier family 6 (neurotransmitter transporter), member 4|solute carrier family 6 (neurotransmitter transporter, serotonin), member 4",17q11.2,17,NC_000017.11,30194319,30235697,minus,15,182138
9606,Homo sapiens,627,0,live,BDNF,"ANON2, BULN2",brain derived neurotrophic factor,; brain-derived neurotrophic factor|abrineurin|neurotrophin,11p14.1,11,NC_000011.10,27654893,27722030,minus,12,113505
9606,Homo sapiens,2099,0,live,ESR1,"ER, ESR, ESRA, ESTRR, Era, NR3A1",estrogen receptor 1,; estrogen receptor|E2 receptor alpha|ER-alpha|estradiol receptor|estrogen nuclear receptor alpha|estrogen receptor alpha E1-E2-1-2|estrogen receptor alpha E1-N2-E2-1-2|nuclear receptor subfamily 3 group A member 1|oestrogen receptor alpha,6q25.1-q25.2,6,NC_000006.12,151654148,152129619,plus,23,133430
9606,Homo sapiens,1401,0,live,CRP,PTX1,C-reactive protein,"; C-reactive protein|C-reactive protein, pentraxin-related|pentraxin 1",1q23.2,1,NC_000001.11,159712289,159714589,minus,4,123260
9606,Homo sapiens,1312,0,live,COMT,HEL-S-98n,catechol-O-methyltransferase,; catechol O-methyltransferase|catechol-O-methyltransferase isoform|epididymis secretory sperm binding protein Li 98n|testicular tissue protein Li 42,22q11.21,22,NC_000022.11,19941772,19969975,plus,8,116790
9606,Homo sapiens,5594,0,live,MAPK1,"ERK, ERK-2, ERK2, ERT1, MAPK2, P42MAPK, PRKM1, PRKM2, p38, p40, p41, p41mapk, p42-MAPK",mitogen-activated protein kinase 1,; mitogen-activated protein kinase 1|MAP kinase 1|MAP kinase 2|MAP kinase isoform p42|MAPK 2|extracellular signal-regulated kinase 2|mitogen-activated protein kinase 2|protein tyrosine kinase ERK2,22q11.22,22,NC_000022.11,21759657,21867680,minus,9,176948
9606,Homo sapiens,5444,0,live,PON1,"ESA, MVCD5, PON",paraoxonase 1,; serum paraoxonase/arylesterase 1|A-esterase 1|K-45|PON 1|aromatic esterase 1|arylesterase 1|arylesterase B-type|esterase A|paraoxonase B-type|serum aryldiakylphosphatase|serum aryldialkylphosphatase 1,7q21.3,7,NC_000007.14,95297676,95324532,minus,9,168820
9606,Homo sapiens,1813,0,live,DRD2,"D2DR, D2R",dopamine receptor D2,; D(2) dopamine receptor|dopamine D2 receptor|dopamine receptor D2 isoform|seven transmembrane helix receptor,11q23.2,11,NC_000011.10,113409595,113475398,minus,9,126450
9606,Homo sapiens,2908,0,live,NR3C1,"GCCR, GCR, GCRST, GR, GRL",nuclear receptor subfamily 3 group C member 1,"; glucocorticoid receptor|glucocorticoid nuclear receptor variant 1|nuclear receptor subfamily 3 group C member 1 variant hGR-B(54)|nuclear receptor subfamily 3 group C member 1 variant hGR-B(77)|nuclear receptor subfamily 3 group C member 1 variant hGR-B(93)|nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",5q31.3,5,NC_000005.10,143277931,143435512,minus,16,138040
9606,Homo sapiens,6531,0,live,SLC6A3,"DAT, DAT1, PKDYS, PKDYS1",solute carrier family 6 member 3,"; sodium-dependent dopamine transporter|DA transporter|dopamine transporter 1|solute carrier family 6 (neurotransmitter transporter), member 3|solute carrier family 6 (neurotransmitter transporter, dopamine), member 3",5p15.33,5,NC_000005.10,1392794,1445440,minus,15,126455
